Questions,Category
Bakit ka pa ba nabuhay? ,description
Bakit hindi mo ako mapili?,description
"Bakit kahit alam mong mali, sige ka pa rin?",description
Paano ba magmahal? ,description
Paano mo siya nagustuhan? ,description
Paano mo nagawa ang ipagpalit ako sa kaniya? ,description
Kailan ba naging oo ang hindi? ,numeric
Kailan mo ba ako mamahalin ulit?,numeric
Kailan mo ba masasabing mahal mo ako ulit?,description
Sino ba ang hinahanap mo?,human
Sino ba talaga mahal mo?,human
Sino ba ang laman ng puso mo?,human
Alin ang mas matimbang sa iyo?,description
Alin dito ang binili mo para sa kaniya?,description
Alin dito ang gamit mo?,description
Saan tayo nilagay nang Diyos?,location
Nasaan ka na ba?,location
Saan na ba ang pag-ibig mo sa akin?,description
Ano ba ako sayo?,description
Ano ba ang kailangan mo?,description
Ano pa kaya ang ibang masusulat ko dito?,description
Bakit kaba ganyan?,description
Bakit kaya ganito ang buhay?,description
Bakit kaya umuulan ng malakas?,description
Paano ba sagutan to?,description
Paano ko kaya gagawin ang takdang-aralin ko?,description
Paano pag di na kami nag kita?,description
Kailan ko kaya siya makikita ulit?,numeric
Kailang ba ang pasukan nyu?,numeric
Kailan ka magbabayad?,numeric
Sino ba kapares mo sa pagsusulit?,human
Sino ba talaga yung gusto mo?,human
Sino ang pinakamatalik mong kaibigan?,human
Alin kaya sa dalawang ito ang bibilhin ko?,description
Alin sa mga pintong ito ang papunta sayo?,description
Alin kaya ang magugustuhan nya dito?,description
Saan ba tayo magkikita mamaya?,location
Saan ba talaga tayo pupunta?,location
Saan kaya dito sa mundo ang walang krimen?,location
Ano ang pangalan mo?,Human
Ano ang lugar ko sa puso mo?,Description
Ano ang meron siya na wala ako?,Description
Bakit iniwan mo ako?,Description
Bakit siya ang pinili mo?,Description
Bakit ang dami kong tanong?,Description
Paano ba ang magmahal?,Description
Paano alisin ang ala-ala mo?,Description
Paano kalimutan ang nakaraan?,Description
Kailan kita makikita?,Numeric
Kailan ka ba babait?,Numeric
Kailan ka aamin?,Numeric
Sino ang mahal mo?,Human
Sino ang nanay mo?,Human
Sino ang pupunta sa SM?,Human
Alin ang mas maganda?,Entity
Alin ang mas gusto mo?,Entity
Aling bahay ang gusto mo?,Entity
Saan ang dulo ng bahaghari?,Location
Saan mo iniligay ang utak mo?,Location
Saan ang bahay niyo?,Location
Ano ang iyong kailangan?,Description
Ano ang ginagawa mo?,Description
Ano ang ibig mong sabihin?,Description
Bakit kulay puti any iyong pinili?,Description
Bakit may lindol?,Description
Bakit ka nag-aaral?,Description
Paano ako makakapag-laba?,Description
Paano tayo mag-uusap?,Description
Paano sila makaka-kain?,Description
Kailan tayo muling magkikita?,Numeric
Kailan ang iyong kaarawan?,Numeric
Kailan mag-uumpisa ang palatuntunan?,Numeric
Sino ang ibinoto mo?,Human
Sino ang nagluto ng chopsuey?,Human
Sino ang nanalo sa palaro?,Human
Alin ang naiba?,Entity
Alin sa tatlo ang mas napupusuan mo?,Entity
Alin sa mga ito ang kinatatakutan mo?,Entity
Saan ka nakatira?,Location
Saan ka nag-aaral?,Location
Saan mo nais mag-bakasyon?,Location
Ano ang ingles ng salitang ano?,Description
Inaano ka ba niya?,Description
Oh edi ano ngayon?,Description
"Bakit puro ka nalang ""bakit""?",Description
Bakit papa binawi mo pa ang pag-ibig mo sa akin?,Description
"Bakit ba ako pinapasagot ng survey na eto, eh wala naman akong alam?",Description
Paano ba ako makakabuo ng tanong gamit ang salitang paano?,Description
Paano ba mag type dito?,Description
Paano ba talunin ang energy gap?,Description
Kailan mo ba mapapansin ang aking lihim?,Description
Kailan hahaplusin ang pusong bitin na bitin?,Description
Kailan ba magpapakasal si Faye Lomente?,Numeric
Sino ang nagmamay-ari ng puso ni Faye Lomente?,Human
"Sino ang pipiliin ko, siya ba na pangarap ko o siya bang kumakatok sa puso ko?",Human
Sinog ang taong nagpapatibok ng puso ni Faye Lomente?,Human
"Alin sa dalawa, mamahalin mo ako o mamahalin kita?",Description
"Alin ang naiiba, sunsilk, cream silk, rejoice, o head and shoulders?",Entity
"Kung papipiliin ka, alin ang gusto mo maging tao, maging bagay og ang maging tayo?",Description
Saan ba ako lulugar?,Location
Saan tinatago ni darna ang kanyang bato?,Location
Saan kumukuha ng lakas ng loob si Kiray?,Location
Ano ang nagpapaligaya sa iyo?,Entity
Bakit mo ba ako iniwan?,Description
Paano kita makakalimutan?,Description
Kailan ka bababa d'yan?,Numeric
Sino ang una mong minahal?,Human
Alin ang na iba?,Entity
Saan ka pupunta?,Location
Ano ang pangalan mo?,Human
Ano ba ang mali ko?,Description
Ano nga ba ang tamang kasagutan?,Description
Bakit ako nalilito?,Description
Bakit masarap ang bawal?,Description
Bakit hindi ko matigilan ang bisyo ko sa kape?,Description
Paano ba ako papasa?,Description
Paano mo nagagawang magsinungaling?,Description
Paano kaya naimbento ang cellphone?,Description
Kailan kaya niya ako maaalala?,Numeric
Kailan mo napagtanto na wala ka talagang alam?,Numeric
Kailan sila matitigil sa pagsunod sa uso?,Numeric
"Sino ang pipiliin mo, ang maganda o ang matalino?",entity
Sino si Sarah sa buhay ni Bb. Minchin?,Description
Sino ang bubuhay sayo kung hindi mo titigilan iyang katamaran mo?,Description
"Alin ang mas importante, ang matataas na marka o ang galing sa pagdiskarte?",Entity
Alin ba sa mga iyon ang pinakanagustuhan mo?,Entity
Alin diyan ang ayaw mo?,Entity
Saan ba ako patungo?,Location
Saan kaya naililibing ang mga patay na elepante?,Location
Nasaan ka noong gutom ako?,Location
ano kaya na gawa kong kasalanan?,Description
ano kaya gagawin ko para mapasaya ko siya?,Description
anong pangalan ng kasama mo isang araw sa park?,Human
bakit nya ba ako iniwan?,Description
bakit kaya kailangan pang buhayin ang mga drug lord?,Description
bakit kaya hindi nalang ipa patay lahat ng mga drug lord?,Description
paano ba mag mahal na hindi ka sasaktan? ,Description
paano ko kaya sasabihin sa kanya na mahal ko siya?,Description
paano pag may mamatay sa amin sa girang ito?,Description
kailan mo kaya ma ramdaman ang pag ibig ko sayo?,Description
kailan mo sasagotin ang tanong ko?,Numeric
kailan ka maging akin? ,Numeric
sino ba sa aming dalawa?,Human
sino gusto mo makasama habang buhay?,Human
sino gusto mo isama natin sa ating lakad?,Human
alin gusto mong bibilhin sa dalawang ito?,Entity
aling damit ang bagay sa akin?,Entity
alin kaya sa kulay na ito ang bagay sa theme backround?,Entity
saan banda gusto mo e ayos natin?,Entity
saan kaya magandang pwesto para sa dinner date mamaya?,Location
saan gusto mong papasyalin natin? ,Location
Ano ang tawag sa babaeng malas sa pag-ibig?,Entity
Ano ba ang maling ginawa ko sa kanya at iniwan niya ako?,Description
Ano ang dahilan sa kanyang paglisan?,Description
Bakit niya ako iniwan?,Description
Bakit ba nasasaktan ang tao?,Description
Bakit ba tayo nagmamahal?,Description
Paano mo bo gagawin ang takdang-aralin natin?,Description
Paano na ako kung ako ay iiwan mo?,Description
Paano ka nakakasigurado na mahal ka niya?,Description
Kailan mo ba ako mamahalin?,Numeric
Kailan ka ba gigising mula sa ilusyon na mahal ka niya?,Description
Kailan kaya ako magmamahal ulit?,Description
Sino ba talaga ang gusto mo sa aming dalawa?,Human
Sino ang nagmamay-ari sa puso mo?,Human
Sino nga ba siya sa puso mo at kaya mong saktan ang tulad ko?,Description
Alin dito ang gusto mo?,Entity
Alin sa mga nabanggit ang pipiliin mo?,Entity
Alin ang naiba sa dalawang larawan?,Entity
Saan ka lulugar sa buhay niya?,Description
Saan ako nagkamali?,Description
Saan ko mahahanap ang taong makakaligaya sa akin?,Description
Ano ang brand ng cellphone mo?,Entity
Ano ang gagawin natin sa computer shop?,Description
"Ano ang gusto mong regalo, cellphone o sapatos?",Entity
Bakit hindi sila pumapasok sa school?,Description
Bakit hindi mo sabahin sa kanya na siya nalang ang date mo sa prom?,Description
Bakit mo siya iniwan sa park?,Description
Paano kung isumbong nila tayo sa guard?,Description
Paano mo yan ibibigay kay Jessy?,Description
Paano mo siya yayayain ng date?,Description
Kailan ang birthday mo?,Numeric
Kailan mo ibibigay ang cellphone niya?,Numeric
Kailan kayo pupunta sa beach?,Numeric
Sino ang nakabili ng Nike na ,
sapatos na nakalagay dito?,HUman
"Sino ang mas maganda, si Liza  o si Julia?",Human
Sino ang nagbigay ng Lacoste na t-shirt sa kanya?,Human
Alin dito ang dadalhin natin para kay Mam Jane?,Entity
Alin sa mga pantalon na ito ang Levi's ang brand?,Entity
Alin sa mga ito ang kinuha ni Paul?,Entity
Saan papunta sina Rico at Ruby?,Location
Saan maglalaro ang kupunan nina James Yap?,Location
Saan nakatira si Jimmy?,Location
Ano ang pinaka gusto mong ginawa ni Adolf Hitler?,Description
Bakit ang pogi ni Adolf Hitler?,Description
Paano mo maipapakita ang iyong pagkabighani kay Adolf Hitler?,Description
Kailan mo aaminin ang iyong nararamdaman para kay Adolf Hitler?,numeric
Sino ang iyong isasakripisyo para kay Adolf Hitler?,HUman
Alin ang gagawin mo para kay Adolf Hitler?,Entity
Saan kayo maglalaro ni Adolf Hitler?,Location
Ano ang meron sa kanya na wala ako? ,Description
Ano ang kulang? ,Description
Ano ba ang dapat kong maramdaman? ,Description
Bakit siya pa?  ,Description
"Bakit sa dinami-dami ng tao sa mundo, siya pa? ",Description
Bakit di nalang ako? ,Description
Paano na tayo? ,Description
Paano na ang mga panahong pinagsamahan natin? ,Description
Paano na ang nararamdaman ko?  ,Description
Kailan ka babalik? ,Numeric
Kailan mo plano na magparamdam? ,Numeric
Kailan mo aaminin na laro lang pala ito? ,Numeric
Sino siya? ,Description
Sino sa amin ang may karapatan? ,Description
Sino sa aming dalawa ang pinalalaruan mo? ,Description
Alin dito ang nagawa kong mali? ,Entity
Alin sa mga sinabi mo ang tama? ,Entity
Alin sa mga sinabi mo ang dapat kong paniwalaan? ,Entity
Saan ba ako nagkulang? ,Description
Saan ba ako dapat lumingon? ,Description
"Nasaan ka man ngayon, alam kong maligaya ka na. ",Description
Ano ang kulay ng iyong buhok,Entity
Ano ang ibig sabihin ng buhay,Description
Ano ang tanging nag papasaya sa iyo,Entity
Bakit berde ang mga dahon sa puno?,Description
Bakit matangos ang ilong ni Faye?,Description
Bakit pinya ang tawag sa pinya?,Description
Paano kita mapapamahal?,Description
Paano mag move on?,Description
Paano mo iiwan ang taong wala namang kasalanan?,Description
Kailan naubos ang pagmamahal mo kanya?,Description
Kailan ang tamang panahon?,Description
Kailan ka mag didieta?,Numeric
Sino ang Panginoon?,Description
Sino ang gusto mo makasama habambuhay?,Human
Sino ang taong nag papatibok ng iyong puso?,Human
"Alin ang mas magandang libangan, sa dagat o sa museo?",Entity
Alin ang mga gusto mong kainin?,Entity
Alin sa ito ang tamang sagot?,Entity
Saan ka huling naglibang?,Location
Saan ka nakahanap ng poreber?,Location
Saan ka kumain kanina?,Location
Ano ang pangalan mo?,Human
Bakit ngayon ka lang dumating?,Description
Paano ba ang magmahar?,Description
Kailan hahaplosin ang pusong bitin na bitin?,Description
Sino ang kukupkop sa puso komg sawi?,Description
Alin ang nasa bahay?,entity
Saan mahahanap ang puso ko?,Location
Ano ang iyong iniisip?,Entity
Ano ang ginagawa mo ngayon?,Description
Ano anh ibig sabihin ng iyong sinabi?,Description
Bakit mo nasabi iyan?,Description
Bakit mo ako kinausap?,Description
Bakit hindi ka nagsabi?,Description
Paano mo nagawang sabihin ang mga salitang iyon?,Description
Paano mo napagtagumpayan ang iyong mga kahinaan?,Description
Paano ka lumakas?,Description
Kailan ka maglalaho sa aking isipan?,Numeric
Kailan pa kaya ako magbabago?,Numeric
Kailan kaya darating ang hustisya?,Numeric
Sino ang unang-una mong naiisip sa iyong pagkagising?,Human
Sino ang pinakamahalagang tao sa buhay mo?,HUman
Sino ang iyong naiisip pagkanarinig mo ang salitang 'forever'?,HUman
Alin sa limang bagay ang mas gusto mo?,Entity
Alin ang dapat masunod?,Entity
Alin ang mas mahalaga?,Entity
Saan niyo gustong magbakasyon?,Location
Saan mo ba gustong magtrabaho?,Location
Saan ka na ngayon?,Location
Ano ang nararapat sa taong nangloloko?,Description
"Ano ang mas mahalaga para sa iyo, pangarap mo o kung ano ang makakapagpasaya sa mga magulang mo?",Description
Anu-ano ang mga gusto mong gawin sa buhay?,Description
Bakit mas maganda ako kaysa sa kanya?,Description
Bakit ba malamig ang panahon?,Description
Bakit dapat magtiis muna para umunlad?,Description
Paano ba pumunta ng Ayala mula UP?,Description
Paano ba ang magmahal?,Description
Paano mo masasabing masaya ka na?,Description
Kailan ka ba darating dito?,Numeric
Kailan ka matatapos sa enrollment?,Numeric
Kailan ba ang birthday mo?,Numeric
Sino ang huling nakausap mo?,Human
Sinu-sino ang mga kaibigan mo?,HUman
Sino ang unang nagpatibok ng iyong puso?,Human
Alin ang mas gusto mo Jollibee o Mcdo?,Entity
Alin sa mga guro mo ang iyong paborito?,Entity
Alin sa mga bag ang bibilhin mo?,Entity
Saan ka nakatira?,Location
Saan ka pupunta?,Location
Saan mo gustong tumira?,Location
Ano ang dapat kong gawin?,Description
Ano ang nagawa kong mali?,Description
Ano ba ang sagot sa tanong kung bakit ka mahalaga?,Description
Bakit ngayon ka lang?,Description
Bakit ngayon kung kailan ang aking puso ay mayroon ng laman?,Description
Bakit labis kitang mahal kahit mukha mo ay isang malaking sumpa?,Description
"Paano mo ako nagawang saktan, Agustin?",Description
Paano na kaya?,Description
Paano ba ako makakabawi sa pagbagsak ko sa kursong itinuro ni ginoong Ryan?,Description
Kailan pa ba ako magiging sapat?,Description
Kailan mo pa matatanto na ang ganda ko ay hindi bagay sa iyo?,Description
Kailan mo pa mapapansin ang aking lihim?,Description
Sino nga ba siya sa puso mo?,Description
Sino ang dapat manalo sa digmaan ng pag-ibig?,Human
Sino ang ipinagpalit mo sa akin?,Human
Alin ang naiba?,Entity
"Alin ang gusto mo, Dota o ako?",Entity
Alin ang mas mahalaga?,Entity
Saan ako nagkulang Popoy?,Description
Saan mo nilagay ang panty ko?,Location
Saan mo iyon dinala?,Location
Ano ang nandiyan sa isip mo?,Entity
Ano ang pangalan mo?,Human
Ano ang kulay ng damit mo?,Entity
Bakit mo ako ginawang tanga?,Description
Bakit pumunta ka ng Ayala na mag-isa?,Description
Bakit siya ang nilapitan mo?,Description
Paano mo ako babayaran?,Description
Paano kita masusuklian?,Description
Paano ba iyan gawin?,Description
Kailan mo ako dadalhin sa Palawan?,Numeric
Kailan mo ibibigay ang regalo mo?,Numeric
Kailan mo ako papansinin?,Numeric
Sino ba talaga sa tatlong bata ang anak mo?,Human
Sino ang crush mo?,HUman
Sino ang naglagay ng pagkain sa mesa?,HUman
Alin sa dalawang damit ang pipiliin mo?,Entity
Alin sa dalawang hayop anh gusto mo?,Entity
Alin sa mga tanong ang sasagutin mo?,Entity
Saan ka pupunta?,Location
Saan ba nilagay ng kapatid mo ang ballpen ko?,Location
Saan ko siya makikita?,Location
Ano ang pangalan mo?,HUman
Ano ang nilalaro mo?,entity
Ano ang mararamdaman mo kung papaasahin ka niya?,Description
Bakit mo ako iniwan?,Description
Bakit ikaw ang pinili niya?,Description
Bakit ka umalis?,Description
Paano ko makakalimutan ang mga alaala nating dalawa kung araw-araw kitang nakikita?,Description
Paano ko sasabihin sayo na masakit na?,Description
Paano ko ipapahayag ang aking nararamdaman ng walang nasasaktang iba?,Description
Kailan ang kaarawan mo?,Numeric
Kailan mo matatanggap ang katoohanang wala na tayo?,Numeric
Kailan mo aalisin ang galit diyan sa puso mo?,Numeric
Sino iyang kasama mo?,Entity
Sino ang ipinalit mo sa akin?,Entity
Sino ang pipiliin mo mahal mo o mahal ka?,Entity
"Alin ang gusto mo, tubig, tsaa o kape?",Entity
"Alin ang bagay sa aking bistida, saya o pantalon?",Entity
"Alin ba sa tatlo gusto mong asignatura agham, matematika o antropolohiya?",Entity
Saan ka nag-aaral?,Abbreviation
Saan ka patungo?,Location
Saan bahay mo?,Location
Ano ba talaga ang gusto mo sa akin?,Entity
Bakit mo ako ipinagpalit sa iba?,Description
Paano magmahal ulit?,Description
Kailan pa ba kita malilimutan?,Numeric
Sino siya? ,Human
Alin sa amin ang pipiliin mo?,Entity
Saan ka ba nung kailangan kita?,Location
Ano ang ibig mong sabihin?,Description
Ano ang gusto mong hingin?,Entity
Ano ang bagay na dapat gawin?,Description
Ano ang salitang dapat kong sambitin?,Description
Bakit ba ako naging ganito?,Description
Bakit nung nakilala kita tila ako'y nagbago?,Description
Bakit ba ako'y nasasabik kapag ikay nakikita?,Description
Bakit ba ako'y nasasaktan kapag kayo'y magkasama?,Description
Paano na ang mga pangarap natin para sa isa't isa?,Description
Paano na ang mga pangarap ko sa'yo sinta?,Description
Paano na ang tawanan kung ngayo'y nagiisa?,Description
"Paano na ang ""tayo"" ngayong wala ka na? ",Description
Kailan pa ba darating ang tamang yugto?,Numeric
Kailan ko kaya masasabi ang saloobing ito?,Numeric
Kailan pa ba bago ito masambit?,Numeric
Kailan ba ang panahon na ika'y makakamit?,Numeric
Sino ba ang nang-iwan sa ating dalawa?,Human
Sino ba ang unang nagsawa?,Human
Sino ba ang ipinagpalit sa iba?,Human
Sino ba ang umasa sa wala?,Human
Alin ba sa dalawa?,Description
Alin sa mga ito?,Description
Alin ang naiba?,Description
Alin dito?,Description
Saan nga ba nagkulang?,Description
Saan ba dapat dagdagan?,Description
Saan ba dapat lumugar?,Location
Saan ba dapat magpunta?,Location
Ano ang pangalan mo?,Human
Ano ang nilalaro mo?,Entity
Ano ang mararamdaman mo kung papaasahin ka niya?,Description
Bakit mo ako iniwan?,Description
Bakit ikaw ang pinili niya?,Description
Bakit ka umalis?,
Paano ko makakalimutan ang mga alaala nating dalawa kung araw-araw kitang nakikita?,
Paano ko sasabihin sayo na masakit na?,
Paano ko ipapahayag ang aking nararamdaman ng walang nasasaktang iba?,
Kailan ang kaarawan mo?,
Kailan mo matatanggap ang katoohanang wala na tayo?,
Kailan mo aalisin ang galit diyan sa puso mo?,
Sino iyang kasama mo?,
Sino ang ipinalit mo sa akin?,
Sino ang pipiliin mo mahal mo o mahal ka?,
"Alin ang gusto mo, tubig, tsaa o kape?",
"Alin ang bagay sa aking bistida, saya o pantalon?",
"Alin ba sa tatlo gusto mong asignatura agham, matematika o antropolohiya?",
Saan ka nag-aaral?,
Saan ka patungo?,
Saan bahay mo?,
Ano ang gagawin mo kapag nakita mo siya?,Description
Ano ang meron sa kanya na wala ako?,Entity
Ano ang ginagawa mo tuwing ikaw ay nag-iisa?,Description
Bakit tayo nasasaktan ng dahil sa pag-ibig?,Description
Bakit siya ang pinili mo at hindi ako?,Description
Bakit hindi ko parin siya kayang kalimutan?,Description
Paano mo masasabi na siya na talaga ang para sayo?,Description
Paano kita iibigin?,Entity
Paano kita makakalimutan?,Description
Kailan ako nagkamali?,Description
Kailan ako nagkulang?,Description
Kailan kita malilimutan?,Description
Sino ako para sayo?,Human
Sino ka kapag wala ako?,Human
Sino ang pipiliin mo sa aming apat?,Human
Alin ang mas matimbang sa aming dalawa?,Entity
Alin sa kanila ang mas maganda?,Entity
Alin ang tinutukoy mo?,Entity
Saan ako nagkulang?,Description
Saan ako nagkamali?,Description
Saan na ako pupunta kung wala ka?,Location
Ano ang iyong pangalan?,Human
Ano ang kinain mo?,Entity
Ano ang pangalan ng nanay mo?,Human
Bakit mo ako iniwan?,Description
Bakit ka nandito?,Description
Bakit ka bumalik?,Description
Paano mo ako nahanap?,Description
Paano mo binili ang lupa?,Description
Paano mo ginawa ang takdang-aralin?,Description
Kailan mo siya nakilala?,Numeric
Kailan ka huling kumain?,Numeric
Kailan ka aalis?,Numeric
Sino ka ba?,Human
Sino ang mahal mo?,Human
Sino ang iibigin ko?,Human
Alin dito ang gusto mo?,Entity
Alin ang kailangan mo?,Entity
Alin ang gusto mong bilhin?,Entity
Saan mo siya natagpuan?,Location
Saan ka pupunta?,Location
Saan ang party?,Location
Ano nanaman ba ang kinain mo?,Entity
Anong puno ang hindi pwede akyatin?,Entity
Anong hayop ang kahawig ng mukha mo?,Entity
Bakit asul ang tubig?,Description
Bakit ayaw mong humiga sa buhangin?,Description
Bakit nakasimangot ka?,Description
Paano natutulog ang mga isda?,Description
Paano nabaliw si Sisa?,Description
Paano ito gumagana?,Description
Kailan uwi mo?,Numeric
Kailan ka ba bibisita dito?,Numeric
Kailan pa kaya ako magkakatrabaho?,Numeric
"Sino sa dalawa ang mas nagmukhang unggoy, si Mocha Uson o si Tito Sotto?",Human
Sino ba yung kausap mo kanina?,Human
Sino sa inyo ang kumuha ng wallet ko?,Human
Alin sa pagpipilian ang sagot mo?,Description
Alin dito ang gusto mo?,Entity
Alin sa mga cake na ito ang pinakamatamis?,Entity
Saan mo ba nakuha ang wallet na ito?,Location
Saan ka nanaman ba galing?,Location
Saan punta mo?,Location
Ano ba ang meron siya na wala ako?,Entity
Ano ang magandang inumin sa mainit na panahon?,Entity
Ano ang gustong panoorin ng pamilya mo tuwing gabi?,Entity
Bakit sa tuwing ako'y lumalapit ika'y lumalayo?,Description
Bakit ang puso'y nasasaktan pag may kasama kang iba?,Description
Bakit hindi nila alam na tayo'y nagsumpaang ako'y sayo at ika'y akin lamang?,Description
Paano mo malalaman itong pag-ibig ko sa iyo?,Description
Paano mo malalaman ang tibok ng puso ko?,Description
Paano kaya namatay si Lapu-Lapu?,Description
Kailan kaya mapapansin ni Faye ang aking lihim?,Numeric
Kailang kaya ako magkakaroon ng isang bahay na nakasabit sa puno?,Numeric
Kailan tatama ang bagyo sa kalupaan?,Numeric
Sino ang mas matimbang sa puso ni Waldo?,Human
Sino nga ba talaga ang mauuna kung magkakarera ang isang pagong at isang kuneho?  ,Entity
Sino  kaya ang mananalo sa labanang Pacquiao at Crawford?,Human
Alin kaya sa mga kandidata ang mananaig at kokoronahan?,Entity
Alin sa mga empleyado ang malinis at mabilis magtrabaho?,Human
Alin sa mga istasyon ang magaling sa larangan ng pagbabalita?,Entity
Saan ako magsisimulang maglinis?,Location
Saan tayo makakakuha ng maraming panggatong?,Location
Saan kaya nakatago ang ikapitong bola ng dragon?,Location
Ano ang sagot sa tanong?,Entity
Ano ang ibig sabihin ng nabilaukan?,Description
Ano ang gagawin mo kung ayaw na niya sa'yo?,Description
Bakit 'di mo pagbigyang muli ang ating pagmamahalan?,Description
"Bakit sa tuwing ika'y lumalapit, ako'y lumalayo?",Description
"Bakit sa dinami rami ng kaibigan ko, ikaw pa?",Description
Paano ko nakilala ang nanay mo?,Description
Paano natin maibabalik ang dati?,Description
Paano maging matipid sa pera?,Description
Kailan ba naging kayo?,Numeric
Kailan mo ba ako iiwan?,Entity
Kailan mo ba ako bibigyan ng panahon?,Description
Sino ang bayani ng buhay mo?,Human
Sino ang pipiliin ko?,Entity
Sino ang pinakamaganda sa barkada nila?,Human
"Alin sa mga gulay ng ""bahay kubo"" ang kinakain mo?",Entity
Alin sa mga bansa ng mundo ang pinakamayaman?,Location
Alin sa mga kulay ang pinakamatingkad?,Entity
Saan tayo kakain?,Location
Saan ba nakalagay ang mga alahas ni Senyora Victorina?,Location
Saan ka nung kailangan kita?,Description
Bakit ka pumunta doon sa hindi mo gusto?,Description
Bakit hindi ka pupunta sa concert ng Coldplay?,Numeric
Bakit gusto mong mag aral sa Ateneo?,Numeric
Paano mo sasagutin ang mga tanong na ito?,Abbreviation
Paano mo mararating ang mga pangarap mo sa buhay?,Description
Paano mo ako kumbinsihin na bibigyan kita ng pera para sa ticket ng concert ng Coldplay?,Description
Kailan ka huling kumanta?,Numeric
Kailan ka aalis papuntang Cebu?,Numeric
"Kailan ka nag sabi ng ""Mahal kita"" sa magulang mo?",Numeric
Sino ang huli mong nakausap sa phone mo?,Human
Sino ang nag-udyok sayo na mag aral ng Computer Science?,Human
Sino ang pinakamatalik mong kaibigan?,Human
Saan ka mag aaral ng kolehiyo?,Location
Saan mo nilagay yung utak mo?,Description
Saan ka kukuha ng pera para pang bili ng ticket sa concert ng Coldplay?,Human
Ano ang paborito mong pelikula?,Entity
Ano ang ulam mo noong tanghalian?,Entity
Ano kaya ang kulay ng lightsaber ni Rizal?,Entity
Bakit walang himala?,Description
Bakit nasa puso ang himala?,Description
Bakit tayo ang gumagawa ng himala?,Description
Paano mo binuksan ang nakakandadong pintuan?,Description
Paano mo natalo ang high-score ko sa Tetris?,Description
Paano ba gumawa ng taong niyebe?,Description
Kailan kaya uulan?,Numeric
Kailan ka uuwi sa probinsya?,Numeric
Kailan ka gagraduate?,Numeric
Sino ang kasama mo noong huling Sinulog?,Human
Sino ba ako para sa iyo?,Entity
Sino ang mga magulang ni Jon Snow?,Human
Alin sa mga iyan ang tunay na bahay mo?,Entity
Alin dito ang gusto mong bilhin ko?,Description
Alin sa mga mandala ng dayaming ito nakalagay ang karayom?,Location
Saan nila inilibing si Ferdinand Marcos?,Location
Saan kaya nakatago ang Yamashita Treasure?,Location
Saan na kaya sila Sam at Frodo ngayon?,Description
Ano ang paksa ng panitikan na itinuturing na pinakamahirap pag-aralan?,Entity
Ano ang masasabi mo sa panibagong mga batas na ipinatupad ng ating bagong pangulo?,Description
Ano ang pinakamahalagang gawaing-bahay ang dapat matutunan ng bawat tao?,Description
Bakit hindi alinsunod sa mga salita ang gawa ni pangulong Duterte?,Description
Bakit may mga edukadong mamamayang hindi sumusunod sa batas?,Description
Bakit unti-unting nawawala sa kulturang Pilipino ang mga larong kalye?,Description
Paano nananatiling pasensyado ang mga magulang sa kanilang mga anak?,Description
Paano ginagawa ang saranggola?,Description
Paano tumatako ang isip ng mga makata?,Description
Kailan pa bang matututong matulog nang maaga ang mga mag-aaral?,Numeric
Kailan bang makararing ang Pilipino sa buwan?,Numeric
Kailan ba talagang pinanganak si Hesus?,Numeric
Sino ang sunod na magiging kampeon sa palarong pambansa?,Human
Sino ba sila?,Human
Sino nga ba?,Human
Alin sa mga kulay ng bahaghari ang pinakaunang nakikita ng ating mga mata?,Entity
Alin nitong mga bata ang nagsasabi ng totoo?,Entity
Alin sa mga kapitbahay mo ang kaibigan mo?,Human
Saan dapat unang pumupunta ang mga bata kapag may problema sa pakikipagrelasyon?,Human
Saan tumitira ang aso kapag wala siyang may-ari?,Entity
Saan nanggagaling ang mga ipis?,Location
Ano nga ba ang kailangan mo sa akin?,Entity
Ano ang gusto mong maabot sa buhay?,Entity
Ano nga bang meron siya na wala ako?,Entity
Bakit nga ba mahal kita?,Description
Bakit mo ako iniwan?,Description
Bakit pinili mong mag-aral sa UP?,Description
Paano mo ibabangon ang iyong grado?,Description
Paano ko nga ba malalampasan ang lahat ng ito?,Description
Paano ako mabubuhay nang wala ka?,Description
Kailan pa ba ako magiging masaya?,Numeric
Kailan tayo magpapakasal?,Numeric
Kailan ka uuwi?,Numeric
Sinong kasama mo kagabi?,Human
Sino ang pinakamahalagang tao para sayo?,Human
Sino nga ba siya sa buhay mo?,Entity
Saan ka nanggaling?,Location
Saan ka pupunta?,Location
Saan nga ba ako matutulog ngayon?,Location
Ano ang iyong sagot?,Entity
Ano ba talaga?,Entity
Bakit ito ang sagot mo?,Description
Bakit mahal mo ako?,Description
Paano ba ako yayaman?,Description
Paano na kaya?,Description
Kailan kaya ako makakauwi?,Numeric
Kailan ko maririnig ang matamis mong oo?,Numeric
Sino nga ba siya sa puso mo?,Entity
Sino ang iibigin ko?,Human
"Alin ang gusto mo, dota o ako?",Entity
"Alin ang pipilion mo, dota o ako?",Entity
Saan kaya matatagpuan ang pusong sawi?,Location
Saan tayo magkita?,Location
Ano ang pangalan mo?,Entity
Ano ang hilig mo?,Entity
Ano ang gusto mo?,Entity
Bakit may Mahal Kang iba?,Description
Bakit ganun?,Description
Bakit ngayon ka lang?,Description
Pano to Gawin?,Description
Paano ba ang magmahal?,Description
Paano magimpok?,Description
Kailan ka aalis?,Numeric
Kailan ang kaarawan mo?,Numeric
